year,month,day,MPShock,CDSShock,MP_pm,CBI_pm,MP_median,CBI_median
2008,1,1,-0.097,0,-0,-0.097,-0.0485,-0.0485
2008,2,1,0.114,0,0,0.114,0.057,0.057
2008,3,1,-0.09,16,-0.09,-0,-0.20859956,0.11859956
2008,4,1,-0.082,0,-0,-0.082,-0.041,-0.041
2008,5,1,-0.078,0,-0,-0.078,-0.039,-0.039
2008,6,1,-0.078,0,-0,-0.078,-0.039,-0.039
2008,7,1,0.166,0,0,0.166,0.083,0.083
2008,8,1,-0.081,0,-0,-0.081,-0.0405,-0.0405
2008,9,1,-0.07,0,-0,-0.07,-0.035,-0.035
2008,10,1,-0.081,-28.5,-0,-0.081,0.25091172,-0.33191172
2008,11,1,-0.057,-85.1435,-0,-0.057,0.84208995,-0.89908995
2008,12,1,-0.295,-18.6065,-0,-0.295,0.04275095,-0.33775095
2009,1,1,-0.448,32.6668,-0.448,-0,-0.55801713,0.11001713
2009,2,1,-1.074,35.6667,-1.074,-0,-0.90169103,-0.17230897
2009,3,1,-1.007,-4,-0,-1.007,-0.46260011,-0.54439989
2009,4,1,-1.022,-6.1968,-0,-1.022,-0.44763789,-0.57436211
2009,5,1,-1.005,-20.5005,-0,-1.005,-0.29288295,-0.71211705
2009,6,1,-0.525,9,-0.525,-0,-0.35452475,-0.17047525
2009,7,1,-0.002,-18.44,-0,-0.002,0.18754849,-0.18954849
2009,8,1,0.161,7,0,0.161,0.00892519,0.15207481
2009,9,1,-0.419,5.22,-0.419,-0,-0.26287436,-0.15612564
2009,10,1,-0.022,9.06,-0.022,-0,-0.10363825,0.08163825
2009,11,1,-0.498,-4,-0,-0.498,-0.20810011,-0.28989989
2009,12,1,0.207,-4.72,0.207,0,0.15176187,0.05523813
2010,1,1,0.207,-3,0.207,0,0.13417492,0.07282508
2010,2,1,0.112,-7.321,0.112,0,0.13085702,-0.01885702
2010,3,1,0.076,5.5,0,0.076,-0.01823735,0.09423735
2010,4,1,-0.518,-0.0443,-0,-0.518,-0.25854703,-0.25945297
2010,5,1,-0.048,-13.0221,-0,-0.048,0.10915061,-0.15715061
2010,6,1,-0.048,-10.11,-0,-0.048,0.07937447,-0.12737447
2010,7,1,-0.055,-4.04,-0,-0.055,0.01380889,-0.06880889
2010,8,1,-0.043,0.95,-0.043,-0,-0.03121372,-0.01178628
2010,9,1,-0.062,0,-0,-0.062,-0.031,-0.031
2010,10,1,-0.052,-0.04,-0,-0.052,-0.025591,-0.026409
2010,11,1,-0.048,3.46,-0.048,-0,-0.0593784,0.0113784
2010,12,1,-0.067,1.82,-0.067,-0,-0.05210945,-0.01489055
2011,1,1,-0.064,-7.304,-0,-0.064,0.0426832,-0.1066832
2011,2,1,0.165,-3.564,0.165,0,0.1189418,0.0460582
2011,3,1,0.149,-0.385,0.149,0,0.07843661,0.07056339
2011,4,1,0.05,-2.05601,0.05,0,0.04602265,0.00397735
2011,5,1,0.077,-2.565,0.077,0,0.06472705,0.01227295
2011,6,1,0.118,2.391,0,0.118,0.03455209,0.08344791
2011,7,1,0.05,-0.563,0.05,0,0.03075666,0.01924334
2011,8,1,-0.16,5.441,-0.16,-0,-0.13563408,-0.02436592
2011,9,1,-0.075,16.448,-0.075,-0,-0.20568035,0.13068035
2011,10,1,-0.107,3.05,-0.107,-0,-0.08468617,-0.02231383
2011,11,1,0.111,-9.61,0.111,0,0.15376199,-0.04276199
2011,12,1,-0.071,4.94,-0.071,-0,-0.08601136,0.01501136
2012,1,1,0.21,-5.1,0.21,0,0.15714736,0.05285264
2012,2,1,0.166,1.41,0,0.166,0.06858279,0.09741721
2012,3,1,-0.008,-4.07,-0,-0.008,0.03761564,-0.04561564
2012,4,1,-0.013,-2.09,-0,-0.013,0.01487019,-0.02787019
2012,5,1,-0.02,-4.57,-0,-0.02,0.03672812,-0.05672812
2012,6,1,-0.047,-16,-0,-0.047,0.14009956,-0.18709956
2012,7,1,-0.361,-10,-0,-0.361,-0.07825027,-0.28274973
2012,8,1,-0.09,1,-0.09,-0,-0.05522497,-0.03477503
2012,9,1,0.144,-0.491,0.144,0,0.07702046,0.06697954
2012,10,1,0.024,0.51,0,0.024,0.00678526,0.01721474
2012,11,1,-0.231,2.24501,-0.231,-0,-0.13845517,-0.09254483
2012,12,1,-0.082,2.49401,-0.082,-0,-0.06650118,-0.01549882
2013,1,1,0.031,5.97,0,0.031,-0.04554309,0.07654309
2013,2,1,-0.015,3.73301,-0.015,-0,-0.04566992,0.03066992
2013,3,1,-0.265,1.70999,-0.265,-0,-0.1499846,-0.1150154
2013,4,1,0.134,-2.42401,0.134,0,0.09178544,0.04221456
2013,5,1,0.017,7.604,0,0.017,-0.06925069,0.08625069
2013,6,1,0.027,2.64,0,0.027,-0.01349393,0.04049393
2013,7,1,-0.004,4.63,-0.004,-0,-0.04934162,0.04534162
2013,8,1,-0.016,5.74,-0.016,-0,-0.06669134,0.05069134
2013,9,1,0.004,7.58,0,0.004,-0.07550529,0.07950529
2013,10,1,-0.001,-2.98,-0,-0.001,0.02997042,-0.03097042
2013,11,1,0.022,4.76,0,0.022,-0.03767087,0.05967087
2013,12,1,0.014,4.48,0,0.014,-0.03880788,0.05280788
2014,1,1,-0.021,4.6,-0.021,-0,-0.05753487,0.03653487
2014,2,1,-0.005,3.37,-0.005,-0,-0.03695816,0.03195816
2014,3,1,0.048,-2.63,0.048,0,0.05089168,-0.00289168
2014,4,1,0.255,1.15,0,0.255,0.11574128,0.13925872
2014,5,1,0.014,-0.40999,0.014,0,0.01119214,0.00280786
2014,6,1,-0.037,2.74,-0.037,-0,-0.04651642,0.00951642
2014,7,1,0.106,2.27001,0,0.106,0.02978921,0.07621079
2014,8,1,0.121,0.01001,0,0.121,0.06039765,0.06060235
2014,9,1,0.005,6.91001,0,0.005,-0.06815466,0.07315466
2014,10,1,0.001,-1.48,0.001,0,0.01563296,-0.01463296
2014,11,1,0.004,5.92001,0,0.004,-0.05853194,0.06253194
2014,12,1,0.002,-20.29,0.002,0,0.20846469,-0.20646469
2015,1,1,0,-6.9345,0,0,0.07090507,-0.07090507
2015,2,1,0.002,1.44,0,0.002,-0.01372396,0.01572396
2015,3,1,-0.001,-1.19,-0,-0.001,0.01166772,-0.01266772
2015,4,1,-0.012,2.46,-0.012,-0,-0.03115343,0.01915343
2015,5,1,-0.008,0.5,-0.008,-0,-0.00911249,0.00111249
2015,6,1,-0.011,5.97,-0.011,-0,-0.06654309,0.05554309
2015,7,1,-0.034,9.5,-0.034,-0,-0.11413724,0.08013724
2015,8,1,-0.115,20.29,-0.115,-0,-0.26496469,0.14996469
2015,9,1,0.139,11.91,0,0.139,-0.05227942,0.19127942
2015,10,1,0.136,-7.43,0.136,0,0.14397155,-0.00797155
2015,11,1,-0.144,2.96,-0.144,-0,-0.10226592,-0.04173408
2015,12,1,-0.083,7.36,-0.083,-0,-0.1167558,0.0337558
2016,1,1,-0.085,2.1499,-0.085,-0,-0.06448267,-0.02051733
2016,2,1,-0.083,-17.5501,-0,-0.083,0.13794929,-0.22094929
2016,3,1,0.046,6.95,0,0.046,-0.04806356,0.09406356
2016,4,1,0.203,4.43,0,0.203,0.05620337,0.14679663
2016,5,1,-0.044,-0.5,-0,-0.044,-0.01688751,-0.02711249
2016,6,1,-0.008,-5.79,-0,-0.008,0.05520259,-0.06320259
2016,7,1,0.079,1.46,0,0.079,0.02457154,0.05442846
2016,8,1,-0.092,3.4,-0.092,-0,-0.08076491,-0.01123509
2016,9,1,0.001,-0.01,0.001,0,0.00060225,0.00039775
2016,10,1,0.006,3.88,0,0.006,-0.03667289,0.04267289
2016,11,1,0.002,-3.2,0.002,0,0.03371991,-0.03171991
2016,12,1,-0.21,-0.53,-0,-0.21,-0.09958076,-0.11041924
2017,1,1,0.168,2.44,0,0.168,0.05905107,0.10894893
2017,2,1,-0.149,2.98,-0.149,-0,-0.10497042,-0.04402958
2017,3,1,0.1,-4.41,0.1,0,0.09509213,0.00490787
2017,4,1,-0.037,-3.66,-0,-0.037,0.0189234,-0.0559234
2017,5,1,0.099,-0.01,0.099,0,0.04960225,0.04939775
2017,6,1,-0.009,-1,-0,-0.009,0.00572497,-0.01472497
2017,7,1,0.073,-3.66,0.073,0,0.0739234,-0.0009234
2017,8,1,0.029,-5.39,0.029,0,0.0696126,-0.0406126
2017,9,1,0.067,-5.12,0.067,0,0.08585186,-0.01885186
2017,10,1,-0.189,-4.42,-0,-0.189,-0.04930562,-0.13969438
2017,11,1,-0.051,-2.2,-0,-0.051,-0.00300506,-0.04799494
2017,12,1,0.026,0.25,0,0.026,0.01044376,0.01555624
2018,1,1,-0.128,2.47,-0.128,-0,-0.08925568,-0.03874432
2018,2,1,0,0,0,0,0,0
2018,3,1,0.068,6.35001,0,0.068,-0.03092868,0.09892868
2018,4,1,-0.006,0.73,-0.006,-0,-0.01046423,0.00446423
2018,5,1,0,0,0,0,0,0
2018,6,1,-0.005,-0.49,-0,-0.005,0.00251024,-0.00751024
2018,7,1,0,-0.98,0,0,0.01002047,-0.01002047
2018,8,1,0,0,0,0,0,0
2018,9,1,0.001,1.22,0,0.001,-0.01197447,0.01297447
2018,10,1,-0.002,3.91,-0.002,-0,-0.04097964,0.03897964
2018,11,1,0,0,0,0,0,0
2018,12,1,0,12.09,0,0,-0.12361992,0.12361992
2019,1,1,0,-3.2,0,0,0.03271991,-0.03271991
2019,2,1,0,0,0,0,0,0
2019,3,1,0.001,2.31,0,0.001,-0.02311969,0.02411969
2019,4,1,0,-1.29,0,0,0.01319021,-0.01319021
2019,5,1,0,0,0,0,0,0
2019,6,1,0.004,3.77001,0,0.004,-0.03654825,0.04054825
2019,7,1,0.011,1.63,0,0.011,-0.01116671,0.02216671
2019,8,1,0,0,0,0,0,0
2019,9,1,-0.001,4.45999,-0.001,-0,-0.04610328,0.04510328
2019,10,1,-0.003,-1.07001,-0,-0.003,0.00944082,-0.01244082
2019,11,1,0,0,0,0,0,0
2019,12,1,0,-0.83001,0,0,0.00848683,-0.00848683
