year,month,day,MPShock,StockShock,MP_pm,CBI_pm,MP_median,CBI_median
2008,1,1,-0.097,0.08,-0.097,-0,-0.0544377,-0.0425623
2008,2,1,0.114,0.03,0,0.114,0.05477336,0.05922664
2008,3,1,-0.09,5,-0.09,-0,-0.41610652,0.32610652
2008,4,1,-0.082,5.53,-0.082,-0,-0.45144382,0.36944382
2008,5,1,-0.078,-5.53,-0,-0.078,0.37144382,-0.44944382
2008,6,1,-0.078,-5.45,-0,-0.078,0.36550611,-0.44350611
2008,7,1,0.166,5.12,0,0.166,-0.29701308,0.46301308
2008,8,1,-0.081,-0.06,-0,-0.081,-0.03604672,-0.04495328
2008,9,1,-0.07,0.39,-0.07,-0,-0.06394631,-0.00605369
2008,10,1,-0.081,-6.16,-0,-0.081,0.41670324,-0.49770324
2008,11,1,-0.057,-4.78,-0,-0.057,0.32627784,-0.38327784
2008,12,1,-0.295,4.09,-0.295,-0,-0.45106514,0.15606514
2009,1,1,-0.448,-3.36,-0,-0.448,0.02538358,-0.47338358
2009,2,1,-1.074,-0.14,-0,-1.074,-0.52660902,-0.54739098
2009,3,1,-1.007,-0.13,-0,-1.007,-0.49385123,-0.51314877
2009,4,1,-1.022,-0.54,-0,-1.022,-0.4709205,-0.5510795
2009,5,1,-1.005,-0.01,-0,-1.005,-0.50175779,-0.50324221
2009,6,1,-0.525,-5.07,-0,-0.525,0.11380202,-0.63880202
2009,7,1,-0.002,0.19,-0.002,-0,-0.01510205,0.01310205
2009,8,1,0.161,-0.22,0.161,0,0.09682869,0.06417131
2009,9,1,-0.419,-0.42,-0,-0.419,-0.17832705,-0.24067295
2009,10,1,-0.022,-0.02,-0,-0.022,-0.00951557,-0.01248443
2009,11,1,-0.498,-1.43,-0,-0.498,-0.14286353,-0.35513647
2009,12,1,0.207,0.26,0,0.207,0.08420246,0.12279754
2010,1,1,0.207,0.13,0,0.207,0.09385123,0.11314877
2010,2,1,0.112,0.62,0,0.112,0.00998279,0.10201721
2010,3,1,0.076,0,0,0.076,0.038,0.038
2010,4,1,-0.518,-0.26,-0,-0.518,-0.23970246,-0.27829754
2010,5,1,-0.048,-0.09,-0,-0.048,-0.01732008,-0.03067992
2010,6,1,-0.048,-0.09,-0,-0.048,-0.01732008,-0.03067992
2010,7,1,-0.055,-0.07,-0,-0.055,-0.02230451,-0.03269549
2010,8,1,-0.043,2.89,-0.043,-0,-0.23599957,0.19299957
2010,9,1,-0.062,-1.72,-0,-0.062,0.09666064,-0.15866064
2010,10,1,-0.052,0.04,-0.052,-0,-0.02896885,-0.02303115
2010,11,1,-0.048,1.85,-0.048,-0,-0.16130941,0.11330941
2010,12,1,-0.067,-0.15,-0,-0.067,-0.0223668,-0.0446332
2011,1,1,-0.064,0.13,-0.064,-0,-0.04164877,-0.02235123
2011,2,1,0.165,0.15,0,0.165,0.0713668,0.0936332
2011,3,1,0.149,2.3,0,0.149,-0.096209,0.245209
2011,4,1,0.05,-0.02,0.05,0,0.02648443,0.02351557
2011,5,1,0.077,0.28,0,0.077,0.01771803,0.05928197
2011,6,1,0.118,0.02,0,0.118,0.05751557,0.06048443
2011,7,1,0.05,-0.04,0.05,0,0.02796885,0.02203115
2011,8,1,-0.16,-2.15,-0,-0.16,0.07957581,-0.23957581
2011,9,1,-0.075,-0.14,-0,-0.075,-0.02710902,-0.04789098
2011,10,1,-0.107,-0.08,-0,-0.107,-0.0475623,-0.0594377
2011,11,1,0.111,-0.14,0.111,0,0.06589098,0.04510902
2011,12,1,-0.071,0.01,-0.071,-0,-0.03624221,-0.03475779
2012,1,1,0.21,0.13,0,0.21,0.09535123,0.11464877
2012,2,1,0.166,0.05,0,0.166,0.07928893,0.08671107
2012,3,1,-0.008,-0.11,-0,-0.008,0.00416434,-0.01216434
2012,4,1,-0.013,-0.08,-0,-0.013,-0.0005623,-0.0124377
2012,5,1,-0.02,-3.06,-0,-0.02,0.21711719,-0.23711719
2012,6,1,-0.047,0.01,-0.047,-0,-0.02424221,-0.02275779
2012,7,1,-0.361,-0.1,-0,-0.361,-0.17307787,-0.18792213
2012,8,1,-0.09,0.02,-0.09,-0,-0.04648443,-0.04351557
2012,9,1,0.144,-2.08,0.144,0,0.22638031,-0.08238031
2012,10,1,0.024,0.07,0,0.024,0.00680451,0.01719549
2012,11,1,-0.231,-1.45,-0,-0.231,-0.00787911,-0.22312089
2012,12,1,-0.082,0.03,-0.082,-0,-0.04322664,-0.03877336
2013,1,1,0.031,0.04,0,0.031,0.01253115,0.01846885
2013,2,1,-0.015,1.74,-0.015,-0,-0.13664507,0.12164507
2013,3,1,-0.265,-1.55,-0,-0.265,-0.01745698,-0.24754302
2013,4,1,0.134,1.48,0,0.134,-0.04284753,0.17684753
2013,5,1,0.017,2.11,0,0.017,-0.14810695,0.16510695
2013,6,1,0.027,2.57,0,0.027,-0.17724875,0.20424875
2013,7,1,-0.004,2.03,-0.004,-0,-0.15266925,0.14866925
2013,8,1,-0.016,-1.89,-0,-0.016,0.13227827,-0.14827827
2013,9,1,0.004,-8.88178e-16,0.004,0,0.002,0.002
2013,10,1,-0.001,0.03,-0.001,-0,-0.00272664,0.00172664
2013,11,1,0.022,0,0,0.022,0.011,0.011
2013,12,1,0.014,0.04,0,0.014,0.00403115,0.00996885
2014,1,1,-0.021,0.07,-0.021,-0,-0.01569549,-0.00530451
2014,2,1,-0.005,-0.02,-0,-0.005,-0.00101557,-0.00398443
2014,3,1,0.048,4.44089e-16,0,0.048,0.024,0.024
2014,4,1,0.255,-0.05,0.255,0,0.13121107,0.12378893
2014,5,1,0.014,0.18,0,0.014,-0.00635983,0.02035983
2014,6,1,-0.037,-0.08,-0,-0.037,-0.0125623,-0.0244377
2014,7,1,0.106,0.17,0,0.106,0.04038238,0.06561762
2014,8,1,0.121,-0.05,0.121,0,0.06421107,0.05678893
2014,9,1,0.005,0.09,0,0.005,-0.00417992,0.00917992
2014,10,1,0.001,-0.33,0.001,0,0.02499303,-0.02399303
2014,11,1,0.004,-0.02,0.004,0,0.00348443,0.00051557
2014,12,1,0.002,-0.7,0.002,0,0.05295491,-0.05095491
2015,1,1,0,0.04,0,0,-0.00296885,0.00296885
2015,2,1,0.002,-0.01,0.002,0,0.00174221,0.00025779
2015,3,1,-0.001,-0.06,-0,-0.001,0.00395328,-0.00495328
2015,4,1,-0.012,0.27,-0.012,-0,-0.02603975,0.01403975
2015,5,1,-0.008,-0.24,-0,-0.008,0.01381311,-0.02181311
2015,6,1,-0.011,-0.07,-0,-0.011,-0.00030451,-0.01069549
