year;month;day;MPShock;StockShock;MP_pm;CBI_pm;MP_median;CBI_median
2008;1;1;-0.04;-0.009237842;0;-0.04;0.03480676;-0.07480676
2008;2;1;0.16;-0.001660865;0.16;0;0.08985367;0.07014633
2008;3;1;0;-0.000843023;0;0;0.00500153;-0.00500153
2008;4;1;0;0.009741811;0;0;-0.05779674;0.05779674
2008;5;1;-0.05;-0.003565422;0;-0.05;-0.00384687;-0.04615313
2008;6;1;-0.1;-0.000145955;0;-0.1;-0.04913407;-0.05086593
2008;7;1;0.13;-0.011485516;0.13;0;0.13314188;-0.00314188
2008;8;1;-0.03;-0.004114708;0;-0.03;0.00941196;-0.03941196
2008;9;1;0;-0.002083196;0;0;0.0123593;-0.0123593
2008;10;1;0.02;-0.028611729;0.02;0;0.1797492;-0.1597492
2008;11;1;0.04;0.032113426;0;0.04;-0.17052425;0.21052425
2008;12;1;-0.38;0.002395015;-0.38;0;-0.20420927;-0.17579073
2009;1;1;0;-0.009472174;0;0;0.05619702;-0.05619702
2009;2;1;-0.5;-0.02400196;0;-0.5;-0.10759989;-0.39240011
2009;3;1;0;0.012434073;0;0;-0.07376953;0.07376953
2009;4;1;0;0.016938557;0;0;-0.10049398;0.10049398
2009;5;1;0;0.021691618;0;0;-0.12869319;0.12869319
2009;6;1;0;-0.001293548;0;0;0.00767443;-0.00767443
2009;7;1;0;-0.002803556;0;0;0.01663309;-0.01663309
2009;8;1;0;-0.004365648;0;0;0.02590075;-0.02590075
2009;9;1;-0.5;0.020158273;-0.5;0;-0.36959608;-0.13040392
2009;10;1;0;-0.011172525;0;0;0.06628495;-0.06628495
2009;11;1;-0.5;0.005049841;-0.5;0;-0.27995997;-0.22004003
2009;12;1;0;-0.000569364;0;0;0.00337795;-0.00337795
2010;1;1;0;-0.003805806;0;0;0.02257929;-0.02257929
2010;2;1;0;0.00136;0;0;-0.00806868;0.00806868
2010;3;1;0;0.004396444;0;0;-0.02608346;0.02608346
2010;4;1;-0.5;0.015486781;-0.5;0;-0.3418808;-0.1581192
2010;5;1;0;0.012529077;0;0;-0.07433318;0.07433318
2010;6;1;0;-0.003830992;0;0;0.02272871;-0.02272871
2010;7;1;0;0.016821026;0;0;-0.09979668;0.09979668
2010;8;1;0;0.013294186;0;0;-0.07887246;0.07887246
2010;9;1;0;0.00833;0;0;-0.04942067;0.04942067
2010;10;1;0;0.006316015;0;0;-0.03747199;0.03747199
2010;11;1;0;-0.001901933;0;0;0.01128389;-0.01128389
2010;12;1;0;-0.004149897;0;0;0.02462073;-0.02462073
2011;1;1;0;-0.00616583;0;0;0.03658097;-0.03658097
2011;2;1;0.25;0.02169022;0;0.25;-0.0036849;0.2536849
2011;3;1;0;0.001045935;0;0;-0.00620538;0.00620538
2011;4;1;0;-0.005034171;0;0;0.029867;-0.029867
2011;5;1;0;0.012880831;0;0;-0.07642008;0.07642008
2011;6;1;0;-0.0032;0;0;0.01898513;-0.01898513
2011;7;1;0;0.00615;0;0;-0.03648705;0.03648705
2011;8;1;-0.25;-0.000298818;0;-0.25;-0.12322716;-0.12677284
2011;9;1;0;-0.02155902;0;0;0.12790651;-0.12790651
2011;10;1;0;-0.008758069;0;0;0.05196034;-0.05196034
2011;11;1;0;0.020270829;0;0;-0.12026386;0.12026386
2011;12;1;0;-0.004532557;0;0;0.026891;-0.026891
2012;1;1;0.25;0.0121;0;0.25;0.05321247;0.19678753
2012;2;1;0;-0.006895955;0;0;0.04091269;-0.04091269
2012;3;1;0;0.008948258;0;0;-0.0530887;0.0530887
2012;4;1;0;0.015812407;0;0;-0.09381269;0.09381269
2012;5;1;0;0.006410579;0;0;-0.03803303;0.03803303
2012;6;1;0;0.017953608;0;0;-0.10651613;0.10651613
2012;7;1;-0.25;-0.00111637;0;-0.25;-0.11837674;-0.13162326
2012;8;1;0;0.001833794;0;0;-0.01087963;0.01087963
2012;9;1;0;0.00138;0;0;-0.00818734;0.00818734
2012;10;1;0;0.003142495;0;0;-0.01864396;0.01864396
2012;11;1;-0.25;-0.005132603;0;-0.25;-0.09454902;-0.15545098
2012;12;1;-0.25;0.00873;-0.25;0;-0.17679381;-0.07320619
2013;1;1;0;0.00282074;0;0;-0.01673504;0.01673504
2013;2;1;0;0.002982316;0;0;-0.01769364;0.01769364
2013;3;1;-0.25;0.007883392;-0.25;0;-0.17177101;-0.07822899
2013;4;1;0;-0.002924906;0;0;0.01735304;-0.01735304
2013;5;1;0;0.011261185;0;0;-0.06681096;0.06681096
2013;6;1;0;-0.001728148;0;0;0.01025285;-0.01025285
2013;7;1;0;-0.002842901;0;0;0.01686652;-0.01686652
2013;8;1;0;0.001750297;0;0;-0.01038426;0.01038426
2013;9;1;0;-0.009236655;0;0;0.05479972;-0.05479972
2013;10;1;0;-0.006039034;0;0;0.0358287;-0.0358287
2013;11;1;0;0;0;0;0;0
2013;12;1;0;-0.017216473;0;0;0.10214281;-0.10214281
2014;1;1;0;-0.007893873;0;0;0.04683319;-0.04683319
2014;2;1;0;-0.010995697;0;0;0.06523586;-0.06523586
2014;3;1;0;0.019138427;0;0;-0.11354548;0.11354548
2014;4;1;0.25;0.000389821;0;0.25;0.12268725;0.12731275
2014;5;1;0;0.011935361;0;0;-0.07081075;0.07081075
2014;6;1;0;-0.000829;0;0;0.00491834;-0.00491834
2014;7;1;0;-0.000903281;0;0;0.00535903;-0.00535903
2014;8;1;0;0.00314549;0;0;-0.01866173;0.01866173
2014;9;1;0;0.000286014;0;0;-0.00169688;0.00169688
2014;10;1;0;0.005311104;0;0;-0.03151;0.03151
2014;11;1;0;-0.010290827;0;0;0.06105397;-0.06105397
2014;12;1;0;0.042154567;0;0;-0.25009687;0.25009687
2015;1;1;0;0.013728229;0;0;-0.08144757;0.08144757
2015;2;1;0;0.005108019;0;0;-0.03030513;0.03030513
2015;3;1;0;-0.005812458;0;0;0.03448446;-0.03448446
2015;4;1;0;0.01286712;0;0;-0.07633874;0.07633874
2015;5;1;0;-0.00433111;0;0;0.02569584;-0.02569584
