year;month;day;MPShock;StockShock;MP_pm;CBI_pm;MP_median;CBI_median
2004;3;1;0.13;0;0;0.13;0.065;0.065
2004;4;1;0.12;-0.11;0.12;0;0.06501508;0.05498492
2004;5;1;0;-0.47;0;0;0.02142808;-0.02142808
2004;6;1;0.02;0.23;0;0.02;-0.00048608;0.02048608
2004;7;1;-0.02;0.26;-0.02;0;-0.02185383;0.00185383
2004;8;1;-0.05;-0.28;0;-0.05;-0.01223434;-0.03776566
2004;9;1;0;-0.4;0;0;0.01823666;-0.01823666
2004;10;1;0;-0.26;0;0;0.01185383;-0.01185383
2004;11;1;0;0.03;0;0;-0.00136775;0.00136775
2004;12;1;-0.25;0.06;-0.25;0;-0.1277355;-0.1222645
2005;1;1;0;0.1;0;0;-0.00455917;0.00455917
2005;2;1;0;0.03;0;0;-0.00136775;0.00136775
2005;3;1;0.02;2.3;0;0.02;-0.09486081;0.11486081
2005;4;1;0;0.12;0;0;-0.005471;0.005471
2005;5;1;0.01;-0.06;0.01;0;0.0077355;0.0022645
2005;6;1;0.02;-0.34;0.02;0;0.02550116;-0.00550116
2005;7;1;0;-0.62;0;0;0.02826683;-0.02826683
2005;8;1;0;0.01;0;0;-0.00045592;0.00045592
2005;9;1;-0.47;-0.07;0;-0.47;-0.23180858;-0.23819142
2005;10;1;0.08;-0.25;0.08;0;0.05139791;0.02860209
2005;11;1;0;-0.04;0;0;0.00182367;-0.00182367
2005;12;1;0;0.7;0;0;-0.03191416;0.03191416
2006;1;1;0;0.07;0;0;-0.00319142;0.00319142
2006;2;1;0;0;0;0;0;0
2006;3;1;0;0.13;0;0;-0.00592692;0.00592692
2006;4;1;-0.02;1.82;-0.02;0;-0.09297682;0.07297682
2006;5;1;-0.13;-1.02;0;-0.13;-0.01849651;-0.11150349
2006;6;1;0.04;-0.1;0.04;0;0.02455917;0.01544083
2006;7;1;-0.07;-1.4;0;-0.07;0.02882832;-0.09882832
2006;8;1;0.03;-0.14;0.03;0;0.02138283;0.00861717
