Fecha datos,Fecha Junta Directiva ,Fecha un día después,Fecha dos días después,Fecha tres días después,Fecha cuatro días después,Stock Fecha Junta,Stock un día después,Stock dos días después,Stock tres días despues,Stock cuatro días despues,SHOCK STOCK,
1/1/2002,18/01/2002,19/01/2002,20/01/2002,21/01/2002,22/01/2002,,,,,,,
1/2/2002,18/02/2002,19/02/2002,20/02/2002,21/02/2002,22/02/2002,,,,,,,
1/3/2002,,,,,,,,,,,,
1/4/2002,12/4/2002,13/04/2002,14/04/2002,15/04/2002,16/04/2002,,,,,,,
1/5/2002,17/05/2002,18/05/2002,19/05/2002,20/05/2002,21/05/2002,,,,,,,
1/6/2002,,,,,,,,,,,,
1/7/2002,19/07/2002,20/07/2002,21/07/2002,22/07/2002,23/07/2002,,,,,,,
1/8/2002,16/08/2002,17/08/2002,18/08/2002,19/08/2002,20/08/2002,,,,,,,
1/9/2002,13/09/2002,14/09/2002,15/09/2002,16/09/2002,17/09/2002,,,,,,,
1/10/2002,18/10/2002,19/10/2002,20/10/2002,21/10/2002,22/10/2002,,,,,,,
1/11/2002,21/11/2002,22/11/2002,23/11/2002,24/11/2002,25/11/2002,,,,,,,
1/12/2002,23/12/2002,24/12/2002,25/12/2002,26/12/2002,27/12/2002,,,,,,,
1/1/2003,,,,,,,,,,,,
1/2/2003,14/02/2003,15/02/2003,16/02/2003,17/02/2003,18/02/2003,,,,,,,
1/3/2003,14/03/2003,15/03/2003,16/03/2003,17/03/2003,18/03/2003,,,,,,,
1/4/2003,28/04/2003,29/04/2003,30/04/2003,1/5/2003,2/5/2003,,,,,,,
1/5/2003,16/05/2003,17/05/2003,18/05/2003,19/05/2003,20/05/2003,,,,,,,
1/6/2003,20/06/2003,21/06/2003,22/06/2003,23/06/2003,24/06/2003,,,,,,,
1/7/2003,25/07/2003,26/07/2003,27/07/2003,28/07/2003,29/07/2003,,,,,,,
1/8/2003,15/08/2003,16/08/2003,17/08/2003,18/08/2003,19/08/2003,,,,,,,
1/9/2003,12/9/2003,13/09/2003,14/09/2003,15/09/2003,16/09/2003,,,,,,,
1/10/2003,24/10/2003,25/10/2003,26/10/2003,27/10/2003,28/10/2003,,,,,,,
1/11/2003,14/11/2003,15/11/2003,16/11/2003,17/11/2003,18/11/2003,,,,,,,
1/12/2003,19/12/2003,20/12/2003,21/12/2003,22/12/2003,23/12/2003,,,,,,,
1/1/2004,23/01/2004,24/01/2004,25/01/2004,26/01/2004,27/01/2004,,,,,,,
1/2/2004,20/02/2004,21/02/2004,22/02/2004,23/02/2004,24/02/2004,,,,,,,
1/3/2004,19/03/2004,20/03/2004,21/03/2004,22/03/2004,23/03/2004,,,,,,,
1/4/2004,23/04/2004,24/04/2004,25/04/2004,26/04/2004,27/04/2004,,,,,,,
1/5/2004,14/05/2004,15/05/2004,16/05/2004,17/05/2004,18/05/2004,,,,,,,
1/6/2004,18/06/2004,19/06/2004,20/06/2004,21/06/2004,22/06/2004,,,,,,,
1/7/2004,23/07/2004,24/07/2004,25/07/2004,26/07/2004,27/07/2004,,,,,,,
1/8/2004,20/08/2004,21/08/2004,22/08/2004,23/08/2004,24/08/2004,,,,,,,
1/9/2004,17/09/2004,18/09/2004,19/09/2004,20/09/2004,21/09/2004,,,,,,,
1/10/2004,22/10/2004,23/10/2004,24/10/2004,25/10/2004,26/10/2004,,,,,,,
1/11/2004,19/11/2004,20/11/2004,21/11/2004,22/11/2004,23/11/2004,,,,,,,
1/12/2004,17/12/2004,18/12/2004,19/12/2004,20/12/2004,21/12/2004,,,,,,,
1/1/2005,21/01/2005,22/01/2005,23/01/2005,24/01/2005,25/01/2005,,,,,,,
1/2/2005,18/02/2005,19/02/2005,20/02/2005,21/02/2005,22/02/2005,,,,,,,
1/3/2005,18/03/2005,19/03/2005,20/03/2005,21/03/2005,22/03/2005,,,,,,,
1/4/2005,22/04/2005,23/04/2005,24/04/2005,25/04/2005,26/04/2005,,,,,,,
1/5/2005,20/05/2005,21/05/2005,22/05/2005,23/05/2005,24/05/2005,,,,,,,
1/6/2005,10/6/2005,11/6/2005,12/6/2005,13/06/2005,14/06/2005,,,,,,,
1/7/2005,22/07/2005,23/07/2005,24/07/2005,25/07/2005,26/07/2005,,,,,,,
1/8/2005,19/08/2005,20/08/2005,21/08/2005,22/08/2005,23/08/2005,,,,,,,
1/9/2005,16/09/2005,17/09/2005,18/09/2005,19/09/2005,20/09/2005,,,,,,,
1/10/2005,28/10/2005,29/10/2005,30/10/2005,31/10/2005,1/11/2005,,,,,,,
1/11/2005,18/11/2005,19/11/2005,20/11/2005,21/11/2005,22/11/2005,,,,,,,
1/12/2005,16/12/2005,17/12/2005,18/12/2005,19/12/2005,20/12/2005,,,,,,,
1/1/2006,27/01/2006,28/01/2006,29/01/2006,30/01/2006,31/01/2006,,,,,,,
1/2/2006,17/02/2006,18/02/2006,19/02/2006,20/02/2006,21/02/2006,,,,,,,
1/3/2006,17/03/2006,18/03/2006,19/03/2006,20/03/2006,21/03/2006,,,,,,,
1/4/2006,28/04/2006,29/04/2006,30/04/2006,1/5/2006,2/5/2006,,,,,,,
1/5/2006,26/05/2006,27/05/2006,28/05/2006,29/05/2006,30/05/2006,,,,,,,
1/6/2006,20/06/2006,21/06/2006,22/06/2006,23/06/2006,24/06/2006,,,,,,,
1/7/2006,27/07/2006,28/07/2006,29/07/2006,30/07/2006,31/07/2006,,,,,,,
1/8/2006,18/08/2006,19/08/2006,20/08/2006,21/08/2006,22/08/2006,,,,,,,
1/9/2006,29/09/2006,30/09/2006,1/10/2006,2/10/2006,3/10/2006,,,,,,,
1/10/2006,27/10/2006,28/10/2006,29/10/2006,30/10/2006,31/10/2006,,,,,,,
1/11/2006,17/11/2006,18/11/2006,19/11/2006,20/11/2006,21/11/2006,,,,,,,
1/12/2006,15/12/2006,16/12/2006,17/12/2006,18/12/2006,19/12/2006,,,,,,,
1/1/2007,26/01/2007,27/01/2007,28/01/2007,29/01/2007,30/01/2007,,,,,,,
