Date;MPShock;BEI  Shock
1/01/2008;-0.097;0.08
1/02/2008;0.114;0.03
1/03/2008;-0.09;5
1/04/2008;-0.082;5.53
1/05/2008;-0.078;-5.53
1/06/2008;-0.078;-5.45
1/07/2008;0.166;5.12
1/08/2008;-0.081;-0.06
1/09/2008;-0.07;0.39
1/10/2008;-0.081;-6.16
1/11/2008;-0.057;-4.78
1/12/2008;-0.295;4.09
1/01/2009;-0.448;-3.36
1/02/2009;-1.074;-0.14
1/03/2009;-1.007;-0.13
1/04/2009;-1.022;-0.54
1/05/2009;-1.005;-0.01
1/06/2009;-0.525;-5.07
1/07/2009;-0.002;0.19
1/08/2009;0.161;-0.22
1/09/2009;-0.419;-0.42
1/10/2009;-0.022;-0.02
1/11/2009;-0.498;-1.43
1/12/2009;0.207;0.26
1/01/2010;0.207;0.13
1/02/2010;0.112;0.62
1/03/2010;0.076;0
1/04/2010;-0.518;-0.26
1/05/2010;-0.048;-0.09
1/06/2010;-0.048;-0.09
1/07/2010;-0.055;-0.07
1/08/2010;-0.043;2.89
1/09/2010;-0.062;-1.72
1/10/2010;-0.052;0.04
1/11/2010;-0.048;1.85
1/12/2010;-0.067;-0.15
1/01/2011;-0.064;0.13
1/02/2011;0.165;0.15
1/03/2011;0.149;2.3
1/04/2011;0.05;-0.02
1/05/2011;0.077;0.28
1/06/2011;0.118;0.02
1/07/2011;0.05;-0.04
1/08/2011;-0.16;-2.15
1/09/2011;-0.075;-0.14
1/10/2011;-0.107;-0.08
1/11/2011;0.111;-0.14
1/12/2011;-0.071;0.01
1/01/2012;0.21;0.13
1/02/2012;0.166;0.05
1/03/2012;-0.008;-0.11
1/04/2012;-0.013;-0.08
1/05/2012;-0.02;-3.06
1/06/2012;-0.047;0.01
1/07/2012;-0.361;-0.1
1/08/2012;-0.09;0.02
1/09/2012;0.144;-2.08
1/10/2012;0.024;0.07
1/11/2012;-0.231;-1.45
1/12/2012;-0.082;0.03
1/01/2013;0.031;0.04
1/02/2013;-0.015;1.74
1/03/2013;-0.265;-1.55
1/04/2013;0.134;1.48
1/05/2013;0.017;2.11
1/06/2013;0.027;2.57
1/07/2013;-0.004;2.03
