year;month;day;MPShock;TRM shock
2008;1;1;-0.097;-0.022076442
2008;2;1;0.114;-0.009892765
2008;3;1;-0.09;0.000159213
2008;4;1;-0.082;0.005603711
2008;5;1;-0.078;-0.000843298
2008;6;1;-0.078;0.015856337
2008;7;1;0.166;0.007263723
2008;8;1;-0.081;0.014961725
2008;9;1;-0.07;-0.034087915
2008;10;1;-0.081;0.016907406
2008;11;1;-0.057;0.005760049
2008;12;1;-0.295;-0.002999166
2009;1;1;-0.448;0.03325834
2009;2;1;-1.074;-0.00764319
2009;3;1;-1.007;-0.017917575
2009;4;1;-1.022;-0.018970037
2009;5;1;-1.005;-0.031375934
2009;6;1;-0.525;0.017662901
2009;7;1;-0.002;-0.002504336
2009;8;1;0.161;-0.004799276
2009;9;1;-0.419;0.007779626
2009;10;1;-0.022;0.007464064
2009;11;1;-0.498;0.001318989
2009;12;1;0.207;0.010300418
2010;1;1;2.07E-01;-0.002901517
2010;2;1;0.112;8.7981E-05
2010;3;1;0.076;0.005180459
2010;4;1;-5.18E-01;-0.011525581
2010;5;1;-4.80E-02;-0.011480521
2010;6;1;-0.048;-0.002974681
2010;7;1;-0.055;0.000214216
2010;8;1;-0.043;0.007048667
2010;9;1;-6.20E-02;0
2010;10;1;-0.052;-0.008031473
2010;11;1;-0.048;-0.000207935
2010;12;1;-6.70E-02;0.009031211
2011;1;1;-0.064;0.004894657
2011;2;1;0.165;-0.001433904
2011;3;1;0.149;-0.009465459
2011;4;1;0.05;-0.008963267
2011;5;1;0.077;-0.006805452
2011;6;1;0.118;0.003586242
2011;7;1;0.05;0.007299529
2011;8;1;-0.16;0.006632214
2011;9;1;-0.075;0.011082381
2011;10;1;-0.107;-0.00804033
2011;11;1;1.11E-01;0.008167812
2011;12;1;-0.071;-0.001012073
2012;1;1;0.21;-0.00233362
2012;2;1;0.166;-0.004160773
2012;3;1;-0.008;0.001216531
2012;4;1;-0.013;-0.002559048
2012;5;1;-2.00E-02;0.002306141
2012;6;1;-0.047;-0.010462836
2012;7;1;-3.61E-01;-0.004656612
2012;8;1;-0.09;0.001075058
2012;9;1;1.44E-01;0.000538878
2012;10;1;0.024;0.00325786
2012;11;1;-0.231;0.002431284
2012;12;1;-0.082;-0.00597719
2013;1;1;3.10E-02;-0.003653286
2013;2;1;-0.015;0.008527397
2013;3;1;-0.265;0.007388424
2013;4;1;0.134;-0.001683699
2013;5;1;0.017;0.007170149
2013;6;1;0.027;0.003708267
2013;7;1;-0.004;-0.002520333
2013;8;1;-0.016;-0.002281126
2013;9;1;4.00E-03;0.011150121
2013;10;1;-0.001;-0.000424913
2013;11;1;2.20E-02;0.001880766
2013;12;1;0.014;-0.004982582
2014;1;1;-0.021;0.003931323
2014;2;1;-0.005;-0.003102547
2014;3;1;0.048;-0.011732197
2014;4;1;2.55E-01;0.002959528
2014;5;1;0.014;-0.005331331
2014;6;1;-3.70E-02;-0.006009837
2014;7;1;1.06E-01;0.013638828
2014;8;1;0.121;-0.004316696
2014;9;1;0.005;0.008141198
2014;10;1;0.001;-0.002391652
2014;11;1;0.004;0.018777403
2014;12;1;2.00E-03;-0.049118883
2015;1;1;0;0.03276224
2015;2;1;2.00E-03;0.010574788
2015;3;1;-0.001;-0.024348431
2015;4;1;-0.012;-0.011043273
2015;5;1;-0.008;-0.001259096
2015;6;1;-0.011;0.011355165
2015;7;1;-0.034;0.002514941
2015;8;1;-0.115;0.02460237
2015;9;1;0.139;-0.006097383
2015;10;1;1.36E-01;-0.009930411
2015;11;1;-1.44E-01;0.000435424
2015;12;1;-0.083;0.005998155
2016;1;1;-0.085;-0.023842643
2016;2;1;-0.083;-0.010399211
2016;3;1;0.046;-0.028968432
2016;4;1;0.203;-0.031788703
2016;5;1;-0.044;0.002374794
2016;6;1;-0.008;-0.009771872
2016;7;1;7.90E-02;0.002674133
2016;8;1;-0.092;0.010964567
2016;9;1;1.00E-03;-0.011746384
2016;10;1;0.006;0.000836025
2016;11;1;0.002;-0.00545089
2016;12;1;-0.21;0.010949896
2017;1;1;0.168;0.000901378
2017;2;1;-1.49E-01;-0.002432498
2017;3;1;0.1;-0.012637316
2017;4;1;-3.70E-02;0.006732588
2017;5;1;0.099;0.002811597
2017;6;1;-0.009;0.008821161
2017;7;1;7.30E-02;-0.007831548
2017;8;1;0.029;0.002628881
2017;9;1;6.70E-02;-0.00135776
2017;10;1;-0.189;0.00682089
2017;11;1;-0.051;-0.002127832
2017;12;1;0.026;-0.010177867
2018;1;1;-1.28E-01;0.021167558
2018;2;1;0;0
2018;3;1;6.80E-02;0.005049491
2018;4;1;-0.006;-0.004979954
2018;5;1;0;0
2018;6;1;-0.005;-0.001401365
2018;7;1;0;-0.000711357
2018;8;1;0;0
2018;9;1;1.00E-03;-0.009363264
2018;10;1;-0.002;0.011226708
2018;11;1;0;0
2018;12;1;0;0.021160791
2019;1;1;0.00E+00;-0.013333063
2019;2;1;0;0
2019;3;1;0.001;0.010870756
2019;4;1;0;0.004521031
2019;5;1;0;0
2019;6;1;0.004;-0.017931935
2019;7;1;0.011;0.006257825
2019;8;1;0;0
2019;9;1;-1.00E-03;0.017624989
2019;10;1;-0.003;0.000706663
2019;11;1;0.00E+00;0
2019;12;1;0;-0.00135528
