year;month;day;MPShock;Stock Shock
2008;1;1;-0.04;-0.009237842
2008;2;1;0.16;-0.001660865
2008;3;1;0;-0.000843023
2008;4;1;0;0.009741811
2008;5;1;-0.05;-0.003565422
2008;6;1;-0.1;-0.000145955
2008;7;1;0.13;-0.011485516
2008;8;1;-0.03;-0.004114708
2008;9;1;0;-0.002083196
2008;10;1;0.02;-0.028611729
2008;11;1;0.04;0.032113426
2008;12;1;-0.38;0.002395015
2009;1;1;0;-0.009472174
2009;2;1;-0.5;-0.02400196
2009;3;1;0;0.012434073
2009;4;1;0;0.016938557
2009;5;1;0;0.021691618
2009;6;1;0;-0.001293548
2009;7;1;0;-0.002803556
2009;8;1;0;-0.004365648
2009;9;1;-0.5;0.020158273
2009;10;1;0;-0.011172525
2009;11;1;-0.5;0.005049841
2009;12;1;0;-0.000569364
2010;1;1;0.00E+00;-0.003805806
2010;2;1;0;1.36E-03
2010;3;1;0;0.004396444
2010;4;1;-5.00E-01;0.015486781
2010;5;1;0.00E+00;0.012529077
2010;6;1;0;-0.003830992
2010;7;1;0;0.016821026
2010;8;1;0;0.013294186
2010;9;1;0.00E+00;8.33E-03
2010;10;1;0;0.006316015
2010;11;1;0;-0.001901933
2010;12;1;0.00E+00;-0.004149897
2011;1;1;0;-0.00616583
2011;2;1;0.25;0.02169022
2011;3;1;0;0.001045935
2011;4;1;0;-0.005034171
2011;5;1;0;0.012880831
2011;6;1;0;-3.20E-03
2011;7;1;0;6.15E-03
2011;8;1;-0.25;-0.000298818
2011;9;1;0;-0.02155902
2011;10;1;0;-0.008758069
2011;11;1;0.00E+00;0.020270829
2011;12;1;0;-0.004532557
2012;1;1;0.25;1.21E-02
2012;2;1;0;-0.006895955
2012;3;1;0;0.008948258
2012;4;1;0;0.015812407
2012;5;1;0.00E+00;0.006410579
2012;6;1;0;0.017953608
2012;7;1;-2.50E-01;-0.00111637
2012;8;1;0;0.001833794
2012;9;1;0.00E+00;1.38E-03
2012;10;1;0;0.003142495
2012;11;1;-0.25;-0.005132603
2012;12;1;-0.25;8.73E-03
2013;1;1;0.00E+00;0.00282074
2013;2;1;0;0.002982316
2013;3;1;-0.25;0.007883392
2013;4;1;0;-0.002924906
2013;5;1;0;0.011261185
2013;6;1;0;-0.001728148
2013;7;1;0;-0.002842901
2013;8;1;0;0.001750297
2013;9;1;0.00E+00;-0.009236655
2013;10;1;0;-0.006039034
2013;11;1;0.00E+00;0
2013;12;1;0;-0.017216473
2014;1;1;0;-0.007893873
2014;2;1;0;-0.010995697
2014;3;1;0;0.019138427
2014;4;1;2.50E-01;0.000389821
2014;5;1;0;0.011935361
2014;6;1;0.00E+00;-8.29E-04
2014;7;1;0.00E+00;-0.000903281
2014;8;1;0;0.00314549
2014;9;1;0;0.000286014
2014;10;1;0;0.005311104
2014;11;1;0;-0.010290827
2014;12;1;0.00E+00;0.042154567
2015;1;1;0;0.013728229
2015;2;1;0.00E+00;0.005108019
2015;3;1;0;-0.005812458
2015;4;1;0;0.01286712
2015;5;1;0;-0.00433111
2015;6;1;0;-0.011796221
2015;7;1;0;-0.014128675
2015;8;1;0;-0.035821592
2015;9;1;0.25;-0.010048092
2015;10;1;2.50E-01;-0.0001642
2015;11;1;-2.50E-01;0.019399787
2015;12;1;0;-0.007678595
2016;1;1;0;4.78E-03
2016;2;1;0;0.001165379
2016;3;1;0;0.005413588
2016;4;1;0.25;5.96E-05
2016;5;1;0;-0.007591939
2016;6;1;0;0.002507692
2016;7;1;0.00E+00;-0.00168309
2016;8;1;0;-0.000558054
2016;9;1;0.00E+00;-0.006188676
2016;10;1;0;0.003352299
2016;11;1;0;-0.004408974
2016;12;1;-0.25;-0.00111871
2017;1;1;0.25;-0.0056183
2017;2;1;-2.50E-01;0.000659665
2017;3;1;0;0.000354042
2017;4;1;-2.50E-01;0.001187739
2017;5;1;0;-0.003345988
2017;6;1;0;0.008338913
2017;7;1;0.00E+00;0.004746279
2017;8;1;0;0.007996172
2017;9;1;0.00E+00;1.34E-05
2017;10;1;-0.25;-5.49E-03
2017;11;1;-0.25;-0.002285905
2017;12;1;0;-0.007053467
2018;1;1;0.00E+00;-0.009693982
2018;2;1;0;0
2018;3;1;0.00E+00;0.006169609
2018;4;1;0;-0.000568325
2018;5;1;0;0
2018;6;1;0;-1.00E-02
2018;7;1;0;0.007781484
2018;8;1;0;0.00E+00
2018;9;1;0.00E+00;0.004570997
2018;10;1;0;-0.003376795
2018;11;1;0;0.00E+00
2018;12;1;0;-0.000199734
2019;1;1;0.00E+00;0.010326522
2019;2;1;0;0.00E+00
2019;3;1;0;0.00614192
2019;4;1;0;-0.004623408
2019;5;1;0;0
2019;6;1;0;-0.001494524
2019;7;1;0;0
2019;8;1;0;0
2019;9;1;0.00E+00;-0.003801475
2019;10;1;0;0.00776453
2019;11;1;0.00E+00;0
2019;12;1;0;0.013410522
2020;1;1;0;0.000831022
2020;2;1;0;0
2020;3;1;-0.25;-0.016128815
2020;4;1;0;-0.032581737
2020;5;1;0.02;0.019143233
2020;6;1;0.16;-0.001701393
2020;7;1;0;-0.001093745
2020;8;1;0;0.032149513
2020;9;1;-0.09;0.004522987
2020;10;1;0.03;0.012779224
2020;11;1;0;-0.002968562
2020;12;1;0;-0.035019717
2021;1;1;0;0.006683252
2021;2;1;0;0
2021;3;1;0;0.004834392
2021;4;1;0;-0.027586894
2021;5;1;0;0
2021;6;1;0;-0.010981644
2021;7;1;0;-0.000566169
2021;8;1;0;0
2021;9;1;-0.01;0.006075709
2021;10;1;0.17;-0.002542612
2021;11;1;0;0
2021;12;1;0;-0.010166196
2022;1;1;0.25;0.004610722
2022;2;1;0;0
2022;3;1;-0.5;0.006666753
2022;4;1;0;0.012851792
2022;5;1;0;0
2022;6;1;0;0.026187123
2022;7;1;0;-0.018582655
2022;8;1;0;0
2022;9;1;-0.5;-0.006660743
2022;10;1;0;0.009652451
2022;11;1;0;0
2022;12;1;0;0.003172605
2023;1;1;-0.25;-0.004419147
