year;month;day;MPShock;Stock Shock
2004;3;1;0.13;0
2004;4;1;0.12;-0.11
2004;5;1;0;-0.47
2004;6;1;0.02;0.23
2004;7;1;-0.02;0.26
2004;8;1;-0.05;-0.28
2004;9;1;0;-0.4
2004;10;1;0;-0.26
2004;11;1;0;0.03
2004;12;1;-0.25;0.06
2005;1;1;0;0.1
2005;2;1;0;0.03
2005;3;1;0.02;2.3
2005;4;1;0;0.12
2005;5;1;0.01;-0.06
2005;6;1;0.02;-0.34
2005;7;1;0;-0.62
2005;8;1;0;0.01
2005;9;1;-0.47;-0.07
2005;10;1;0.08;-0.25
2005;11;1;0;-0.04
2005;12;1;0;0.7
2006;1;1;0.00E+00;0.07
2006;2;1;0;0.00E+00
2006;3;1;0;0.13
2006;4;1;-2.00E-02;1.82
2006;5;1;-1.30E-01;-1.02
2006;6;1;0.04;-0.1
2006;7;1;-0.07;-1.4
2006;8;1;0.03;-0.14
2006;9;1;1.50E-01;-5.00E-02
2006;10;1;0.08;0.4
2006;11;1;-0.05;-0.02
2006;12;1;2.00E-01;0.02
2007;1;1;0.13;-0.92
2007;2;1;-0.02;-2.24
2007;3;1;0;-0.71
2007;4;1;-0.02;0.12
2007;5;1;0.01;-5.31
2007;6;1;0.08;-2.17E+00
2007;7;1;0.11;2.00E-02
2007;8;1;-0.16;0.51
2007;9;1;-0.01;-5.11
2007;10;1;-0.01;-5.59
2007;11;1;2.40E-01;-0.02
2007;12;1;-0.01;5.21
2008;1;1;-0.04;8.00E-02
2008;2;1;0.16;0.03
2008;3;1;0;5
2008;4;1;0;5.53
2008;5;1;-5.00E-02;-5.53
2008;6;1;-0.1;-5.45
2008;7;1;1.30E-01;5.12
2008;8;1;-0.03;-0.06
2008;9;1;0.00E+00;3.90E-01
2008;10;1;0.02;-6.16
2008;11;1;0.04;-4.78
2008;12;1;-0.38;4.09E+00
2009;1;1;0.00E+00;-3.36
2009;2;1;-0.5;-0.14
2009;3;1;0;-0.13
2009;4;1;0;-0.54
2009;5;1;0;-0.01
2009;6;1;0;-5.07
2009;7;1;0;0.19
2009;8;1;0;-0.22
2009;9;1;-5.00E-01;-0.42
2009;10;1;0;-0.02
2009;11;1;-5.00E-01;-1.43
2009;12;1;0;0.26
2010;1;1;0;0.13
2010;2;1;0;0.62
2010;3;1;0;0
2010;4;1;-5.00E-01;-0.26
2010;5;1;0;-0.09
2010;6;1;0.00E+00;-9.00E-02
2010;7;1;0.00E+00;-0.07
2010;8;1;0;2.89
2010;9;1;0;-1.72
2010;10;1;0;0.04
2010;11;1;0;1.85
2010;12;1;0.00E+00;-0.15
2011;1;1;0;0.13
2011;2;1;2.50E-01;0.15
2011;3;1;0;2.3
2011;4;1;0;-0.02
2011;5;1;0;0.28
2011;6;1;0;0.02
2011;7;1;0;-0.04
2011;8;1;-0.25;-2.15
2011;9;1;0;-0.14
2011;10;1;0.00E+00;-0.08
2011;11;1;0.00E+00;-0.14
2011;12;1;0;0.01
2012;1;1;0.25;1.30E-01
2012;2;1;0;0.05
2012;3;1;0;-0.11
2012;4;1;0;-8.00E-02
2012;5;1;0;-3.06
2012;6;1;0;0.01
2012;7;1;-2.50E-01;-0.1
2012;8;1;0;0.02
2012;9;1;0.00E+00;-2.08
2012;10;1;0;0.07
2012;11;1;-0.25;-1.45
2012;12;1;-0.25;0.03
2013;1;1;0;0.04
2013;2;1;0.00E+00;1.74
2013;3;1;-0.25;-1.55
2013;4;1;0.00E+00;1.48
2013;5;1;0;2.11
2013;6;1;0;2.57
2013;7;1;0.00E+00;2.03
2013;8;1;0;-1.89
2013;9;1;0.00E+00;-8.88E-16
2013;10;1;0;3.00E-02
2013;11;1;0;0
2013;12;1;0;0.04
2014;1;1;0.00E+00;0.07
2014;2;1;0;-0.02
2014;3;1;0.00E+00;4.44E-16
2014;4;1;0.25;-0.05
2014;5;1;0;0.18
2014;6;1;0;-8.00E-02
2014;7;1;0;0.17
2014;8;1;0;-5.00E-02
2014;9;1;0.00E+00;0.09
2014;10;1;0;-0.33
2014;11;1;0;-2.00E-02
2014;12;1;0;-0.7
2015;1;1;0.00E+00;0.04
2015;2;1;0;-1.00E-02
2015;3;1;0;-0.06
2015;4;1;0;0.27
2015;5;1;0;-0.24
2015;6;1;0;-0.07
2015;7;1;0;0.33
2015;8;1;0;-0.03
2015;9;1;2.50E-01;0.08
2015;10;1;0.25;0.27
2015;11;1;-2.50E-01;-0.03
2015;12;1;0;0.03
2016;1;1;0;-0.01
2016;2;1;0;-0.05
2016;3;1;0;0.09
2016;4;1;0.25;0.11
2016;5;1;0;0.05
2016;6;1;0;-0.02
2016;7;1;0;-0.62
2016;8;1;0;-0.15
2016;9;1;0;-0.04
2016;10;1;0;-0.02
2016;11;1;0;0.05
2016;12;1;-0.25;-0.05
2017;1;1;0.25;0.16
2017;2;1;-0.25;-0.07
2017;3;1;0;-0.01
2017;4;1;-0.25;-0.13
2017;5;1;0;-0.01
2017;6;1;0;-0.24
2017;7;1;0;-0.02
2017;8;1;0;0.03
2017;9;1;0;0.05
2017;10;1;-0.25;-0.09
2017;11;1;-0.25;-0.09
2017;12;1;0;-4.44E-16
2018;1;1;0;0.05
2018;2;1;0;0
2018;3;1;0;-0.02
2018;4;1;0;0.06
2018;5;1;0;0
2018;6;1;0;-0.21
2018;7;1;0;-0.29
2018;8;1;0;0
2018;9;1;0;8.88E-16
2018;10;1;0;-8.88E-16
2018;11;1;0;0
