year,month,day,MPShock,StockShock,MP_pm,CBI_pm,MP_median,CBI_median
2008,1,1,-0.097,-0.009237842,-0,-0.097,0.03219377,-0.12919377
2008,2,1,0.114,-0.001660865,0.114,0,0.07150787,0.04249213
2008,3,1,-0.09,-0.000843023,-0,-0.09,-0.03763608,-0.05236392
2008,4,1,-0.082,0.009741811,-0.082,-0,-0.126096,0.044096
2008,5,1,-0.078,-0.003565422,-0,-0.078,-0.00785557,-0.07014443
2008,6,1,-0.078,-0.000145955,-0,-0.078,-0.03772506,-0.04027494
2008,7,1,0.166,-0.011485516,0.166,0,0.1833275,-0.0173275
2008,8,1,-0.081,-0.004114708,-0,-0.081,-0.00455748,-0.07644252
2008,9,1,-0.07,-0.002083196,-0,-0.07,-0.01680301,-0.05319699
2008,10,1,-0.081,-0.028611729,-0,-0.081,0.20942723,-0.29042723
2008,11,1,-0.057,0.032113426,-0.057,-0,-0.30901501,0.25201501
2008,12,1,-0.295,0.002395015,-0.295,-0,-0.16842077,-0.12657923
2009,1,1,-0.448,-0.009472174,-0,-0.448,-0.14125931,-0.30674069
2009,2,1,-1.074,-0.02400196,-0,-1.074,-0.32733971,-0.74666029
2009,3,1,-1.007,0.012434073,-1.007,-0,-0.61211327,-0.39488673
2009,4,1,-1.022,0.016938557,-1.022,-0,-0.65896053,-0.36303947
2009,5,1,-1.005,0.021691618,-1.005,-0,-0.69197914,-0.31302086
2009,6,1,-0.525,-0.001293548,-0,-0.525,-0.25120069,-0.27379931
2009,7,1,-0.002,-0.002803556,-0,-0.002,0.02348943,-0.02548943
2009,8,1,0.161,-0.004365648,0.161,0,0.11863451,0.04236549
2009,9,1,-0.419,0.020158273,-0.419,-0,-0.38558517,-0.03341483
2009,10,1,-0.022,-0.011172525,-0,-0.022,0.08659348,-0.10859348
2009,11,1,-0.498,0.005049841,-0.498,-0,-0.29311103,-0.20488897
2009,12,1,0.207,-0.000569364,0.207,0,0.10847347,0.09852653
2010,1,1,0.207,-0.003805806,0.207,0,0.13674422,0.07025578
2010,2,1,0.112,0.00136,0,0.112,0.04412022,0.06787978
2010,3,1,0.076,0.004396444,0,0.076,-0.00040352,0.07640352
2010,4,1,-0.518,0.015486781,-0.518,-0,-0.39427907,-0.12372093
